start_point,end_point,length
2111,2126,21
2118,2984,96
2126,2110,26
2134,2258,11
2134,2370,88
1853,2376,31
2136,2144,11
2136,2609081,17
1836,2370,45
2142,1836,243
2144,2609083,120
2144,2154,62
221,2165,17
2145,221,19
2146,221,22
2147,1185,24
1185,1785,168
2154,2609088,10
2061,2254,14
1676,2609089,41
2158,2599,51
2165,2892,107
2181,2623,50
2181,2609097,79
2182,2714,58
2183,2782,68
2183,2486,101
652,2204,11
2189,652,4
2190,2191,11
2191,2196,8
2192,671,25
671,2196,27
2194,2609099,131
2194,2256,47
2196,2192,11
2200,4187,268
2200,3216,192
1490,1490,321
2202,2451,64
2202,2609104,107
2016,2987,86
2203,2016,19
2204,2239,14
2205,2204,297
2206,3898,186
2206,2258,19
2145,2146,20
1887,2145,37
2209,2542,39
2209,2570,40
1430,2609105,21
2217,2609109,50
2219,2220,12
2220,2283,20
2221,2203,337
2222,2307,20
1936,2225,125
2225,1936,202
2225,1936,17
2228,2464,66
2231,2275,25
2232,2312,7
2235,2014,48
2014,1976,47
751,2189,21
2239,2189,6
2242,1977,33
1977,2242,86
2243,2609114,99
1576,2243,22
2254,2518,33
2254,2110,9
2255,2256,38
2256,1987,62
2257,2096,122
2258,4530,255
2258,2487,88
1976,2433,180
2263,1976,49
2264,2609119,63
1978,1894,14
1894,2294,47
2274,2609121,201
2275,2437,182
2276,2275,111
2219,2283,21
2283,3060,235
2284,2413,102
1981,1631,60
2285,2609122,113
1940,2447,56
2192,2291,5
2290,2190,31
2291,2190,13
2294,2609126,31
2300,2225,48
2302,2239,6
2306,2307,358
2307,2991,286
2308,2609128,52
1517,2609129,56
1517,3094,116
2311,1576,74
2312,2609130,9
2315,2609132,30
2264,2850,162
2318,1887,9
1987,2147,58
2321,2609133,51
2322,2388,81
2323,2322,85
2324,2325,20
2325,2500,20
2326,2656,100
2326,2609134,80
2302,751,22
2327,1935,110
2291,2290,30
2331,2609136,10
2312,2998,78
2110,2518,28
2332,2219,54
1618,2609137,36
2333,2609138,73
2318,2963,73
2338,2318,93
2351,1618,32
2353,2302,30
2355,1978,33
2358,2146,52
2362,2363,30
2363,2362,144
2364,2363,58
2315,2893,60
2147,2964,61
2370,2487,12
2376,2217,11
2376,2609150,53
2378,2086,133
2379,2231,189
2231,2448,20
2384,2471,9
2384,2406,40
1797,2384,122
2388,2540,208
2388,2609152,228
2389,2609105,35
2390,2609105,34
1797,2781,40
2395,1797,164
2396,3685,144
2403,2000,13
2406,2423,26
2408,2331,256
2331,2528,104
2413,2052,38
2417,2609157,57
2418,2609158,44
2419,1322,19
2423,2514,80
2423,2572,15
2324,2500,23
2433,2501,38
2434,2433,44
2437,2586,74
2437,2996,59
2438,2609165,19
2439,3049,66
2440,2439,33
2447,2609168,12
2448,2276,71
2449,2276,87
2450,2609169,54
2451,2602,49
2452,2451,125
2463,2448,114
2464,4440,234
2464,412,73
2217,2536,7
2471,2572,62
2471,2781,135
2471,2685,22
2483,2613,87
2484,2403,50
2403,3172,80
2485,2486,74
2486,2643,47
2487,2754,28
2300,2609180,214
2491,2300,31
2015,1785,79
2497,2338,32
2497,2609183,45
2498,3795,143
2500,3347,89
2500,3415,106
2501,2609184,51
2504,4079,194
2504,2418,43
745,2609188,57
1983,2510,49
2510,1983,26
2514,2968,177
2518,3755,143
1796,2597,9
2522,2242,56
2527,2528,39
2528,2823,62
2529,2440,42
2536,2308,6
2536,2609196,42
2540,2449,31
2541,2540,198
2449,3525,103
2542,2684,16
2542,3543,129
2364,2835,32
2395,3809,140
2548,2395,21
2447,2009,104
2294,2747,45
2570,2843,28
2570,2684,15
2571,2548,2
2572,3577,106
2290,3348,79
2571,2609210,33
2581,2571,79
539,2609211,77
2582,539,47
2308,2450,22
2333,2935,80
2586,2274,91
2586,2962,39
2417,2355,14
2355,2894,49
2588,2221,25
2589,2255,13
1248,1250,96
2418,2609212,202
2255,2609213,21
2596,3220,64
2596,2609214,142
2597,2631,8
2597,3325,180
2598,2599,72
2599,2598,17
2602,3535,190
2603,2602,47
2604,3296,121
2604,2866,37
2609,2588,86
2610,2588,426
2613,4310,365
2614,2332,246
2332,3063,148
2491,2609220,428
1274,2491,21
2620,3640,105
2621,2620,39
2529,2609224,125
2622,2529,116
2623,3265,75
2623,2609225,14
2438,2609227,15
2627,2438,46
2353,2695,42
2629,2353,13
2631,2510,11
2633,2609228,37
2634,2609229,9
2634,2609230,12
2635,2362,32
2639,1551,167
1551,4187,221
2009,2609233,95
2643,2844,52
2235,1914,47
2650,2609235,86
2654,2351,172
2655,2351,134
2389,2390,35
2656,2390,130
2662,2417,57
2669,2015,88
2670,1792,122
1792,2937,87
2678,2609241,84
2678,3954,303
2679,2235,37
2680,2631,23
2681,2682,16
2681,2682,37
2682,3176,176
2683,2609243,126
2684,3576,113
2684,2843,21
2685,2609244,83
2685,2609245,37
2688,2484,94
2694,2609247,12
2683,2609248,113
2695,2683,12
2695,2629,44
2702,2714,7
2703,2702,8
2704,1863,115
2704,1863,260
2705,2389,205
2706,1274,72
2709,2263,59
2263,2434,169
2714,2622,14
1322,2609251,68
2717,1722,13
1722,2717,14
2720,2338,15
2703,3014,29
2721,2703,5
2724,1981,21
2726,2609254,179
2694,2832,10
2581,4104,841
2730,2581,3
2740,3076,42
2740,3435,92
2741,745,85
2742,2721,18
2744,2321,109
2321,2608565,166
2747,3148,43
2747,2285,57
2730,2748,120
2748,2730,38
2751,2609259,208
2450,3030,34
2754,2609260,50
2757,2629,47
2598,3436,120
2680,3157,40
2680,3388,157
2681,3349,61
2781,3346,58
2781,2609274,59
2782,3384,66
2783,2782,173
2782,2485,100
2413,2071,38
2790,2011,84
2011,3022,312
2799,2635,29
2805,2609284,235
2807,2717,50
2808,2205,10
2809,2205,280
2720,4001,163
2812,2720,20
2813,2814,18
2814,3695,292
2823,2859,9
2823,2609288,58
2832,2609291,36
2832,2609292,9
2622,2970,15
2835,2609294,92
2835,2609295,109
2843,3077,27
2844,471037,74
2844,3078,65
2850,3069,22
2851,3347,176
2358,3468,65
2358,2963,27
2434,2609304,42
2857,2609288,15
2858,2609288,13
2859,2868,11
2859,2858,8
2860,3817,118
2860,3265,75
2650,2609305,13
2866,3613,97
2866,2726,102
2527,3256,40
2527,2408,220
2868,2527,21
2873,1952,170
2874,1952,19
2873,2942,113
2875,2873,274
2882,2813,40
2883,2813,53
2868,3074,25
2892,3967,155
2892,3468,103
2893,2609312,25
2894,3249,46
2894,3148,55
2895,2609313,93
2897,2748,85
2899,3139,58
2274,3217,40
2808,2757,225
2901,2808,76
2097,2419,151
2902,2097,180
2903,2419,103
2913,2742,14
2742,3034,135
2915,2812,181
2916,2812,48
2724,3179,28
2923,2724,24
412,2895,97
2071,3245,105
2858,2857,6
2933,2635,52
2934,2935,136
2935,1681,18
2936,2937,99
2937,3233,89
2938,2609328,136
2941,2609329,89
2942,2609330,34
2942,2609331,32
2893,3219,47
2582,3098,24
2948,2582,26
2950,2992,13
2951,2633,3
2633,2609336,80
1731,3795,97
2603,2609337,28
2959,2609338,125
2962,4240,139
2963,3370,69
2964,3867,96
2964,2669,237
2311,2609341,42
2311,2609342,125
2968,3071,38
2968,3028,61
2969,1312,107
2970,5938,340
2973,2951,41
2951,2609348,54
2874,2609349,107
2984,3166,38
2984,2973,25
2857,3074,9
2285,3124,29
2987,3735,79
2987,2609,396
2991,1475,119
2992,2609355,14
2992,3314,50
2995,2609356,76
2996,2379,22
2998,2609357,106
1681,2875,56
3004,2650,29
3005,2650,12
3010,2463,14
3011,2463,10
3012,2609362,21
2913,6156,355
3014,2913,5
3014,6110,350
945,2608565,93
2706,3254,65
2679,3004,14
3004,3464,74
3021,3079,52
3022,1252,86
3028,2609365,71
3030,4422,181
3030,2639,138
3031,3079,24
3034,1959,62
3035,1959,42
1911,5447,275
3012,2679,12
3040,2679,31
3041,2679,29
3048,2603,9
3049,3250,20
3050,3049,141
3051,2522,17
3052,2522,32
2969,3526,92
2998,3637,81
3060,3062,10
3061,3062,382
3062,3101,61
3063,3060,197
3067,2874,58
3069,4007,115
3070,3069,87
3071,3162,131
3071,4665,217
2882,3870,118
3074,3315,25
3076,4342,159
3076,2609377,184
2379,2609378,14
3077,2627,79
2627,2609379,22
3051,3343,21
3078,4331,142
3079,3720,69
3086,2899,34
2709,3012,60
3094,2726,62
2948,3098,10
3098,2923,3
2923,3179,10
3100,2899,37
3101,3061,92
3102,3101,94
3106,2609387,17
3077,3714,63
3112,2654,18
3124,3847,103
3124,3411,74
3137,2662,48
2662,3249,54
2323,3636,160
3138,2323,54
3139,3140,9
3139,2609393,48
3140,2609394,15
3141,3140,48
3148,2609396,13
3153,3173,42
3155,2609387,83
3156,2609387,59
2656,3515,46
3157,2609398,12
3157,2609399,12
3160,2609402,66
3161,3160,65
3162,3415,3
3166,3167,5
3167,3166,48
2485,471037,101
3061,3051,120
3172,2609405,158
3172,3296,16
3173,2609406,26
3174,3173,130
3176,3234,18
3176,3235,19
3179,3211,3
3180,4565,179
3180,3180,56
3181,2948,11
3182,3558,42
2973,3450,70
3191,1250,103
3211,3181,12
3212,3211,122
3214,2609421,20
3167,2609423,49
3215,3216,163
3216,4007,215
3217,3368,26
3218,3217,17
3219,2609424,44
3220,3952,84
3221,3220,163
2875,3467,70
3231,2757,166
3232,3233,355
3233,2934,86
3234,3235,16
3235,1982,90
3245,3376,39
3245,2257,41
3249,3289,30
640,2688,43
3250,3050,19
3251,3250,55
3252,2609430,27
3254,2807,12
2807,3287,13
3256,3878,67
3256,2609431,10
3257,2609433,74
3258,3745,111
3261,2709,7
3262,3181,135
3264,4281,23
3265,3425,20
3269,2327,320
3270,2327,306
2916,2609440,29
3276,2916,104
3287,3254,27
3289,3605,44
3289,3769,129
3294,2609446,68
3296,3514,26
3297,2609448,33
3234,3935,67
3305,2609454,44
3305,2609455,10
3040,3041,19
3307,3040,21
3041,3382,10
3314,3261,131
3261,3382,45
3315,3543,29
3316,3315,42
945,4251,116
3322,3324,15
3323,3324,90
3324,3322,15
3325,3757,77
2897,3730,105
3328,2897,105
1731,3761,56
3218,2609460,89
3218,2609460,133
2306,19557,1964
3338,3100,40
2883,2609465,78
3341,2883,64
3343,3052,20
3052,3539,24
3346,2959,48
3346,4732,160
3347,3630,31
3348,3431,9
3348,3426,18
3349,3956,67
3349,3935,209
3162,4403,115
3350,3898,74
3161,2609467,61
3287,3685,78
3356,2609471,62
3362,2609475,18
3252,3214,16
3214,3516,50
3368,3430,16
3368,2609477,65
3370,3806,53
3370,3806,70
2452,2609479,148
3371,2452,176
2257,3643,54
3376,2609482,54
3379,3575,21
3382,3587,22
3383,4028,71
3383,3686,34
3384,3671,67
3384,3762,100
3219,5055,190
3387,2609483,61
3388,2609484,114
3388,3818,77
3392,3989,105
3393,3392,223
3392,3587,57
3404,2609490,10
3407,3404,10
3411,3412,176
3412,3411,284
3415,3630,60
3050,4004,68
3417,3252,99
3422,3343,18
3424,3425,70
3425,3702,47
3426,3431,17
3362,3426,24
2959,3297,33
1230,2609496,14
3156,3155,80
3430,3155,30
3431,3462,13
3138,2609498,54
3435,4422,141
3436,640,74
3430,4196,82
3100,3680,24
3437,1982,139
3445,3573,14
3446,2609499,10
3028,5203,400
3450,2609501,87
3452,3774,10
3257,3314,62
2741,3161,82
3455,2609,84
3462,3322,24
3464,3307,27
3465,3307,18
3466,4367,98
3467,3544,23
3467,3602,19
3468,3810,37
3469,2609503,72
2895,2609505,209
2895,3979,60
3478,3484,11
3479,3478,57
2934,2609506,53
3484,3495,46
3479,3484,76
3485,1230,35
1230,3485,50
3488,3404,42
3491,2669,88
2669,3735,85
3495,3539,68
3495,2609512,92
3504,3718,15
3297,3843,35
3510,3606,58
3514,2609519,60
3514,3922,49
3515,3617,19
3515,3387,21
3516,3137,6
3517,3137,42
3518,3362,31
3524,2609524,18
3525,3745,225
3525,2609525,121
3526,2741,109
3532,3518,31
3535,3464,17
3536,6193,306
3537,3535,102
3539,3589,14
2995,3446,51
3446,2609531,10
3464,3465,29
3543,3316,22
3543,3576,11
3544,3602,11
3544,3803,54
3462,3883,84
3558,3687,19
3566,2790,77
3567,2790,318
3323,3572,15
3572,3323,17
3573,5439,309
3573,2609540,20
3574,3516,54
2726,4674,148
3575,2378,41
3575,2609541,20
3576,3787,26
3577,2609542,100
3577,4662,125
3034,4440,135
3578,3376,31
3452,3728,14
3587,3693,15
3141,2609393,52
3141,2609393,10
3588,3605,29
3387,3617,39
3452,3422,8
3589,3422,17
3595,3067,11
3596,3067,140
3602,3811,29
3604,3479,25
3517,4091,51
3605,3517,60
3606,2609555,27
3607,4410,207
2809,3959,84
3608,2809,146
3609,2609556,112
3610,2744,116
3611,2744,76
3613,3922,42
3613,3613,43
3614,6240,315
3614,3469,117
3617,4681,109
3589,3951,35
3629,3465,13
3630,3833,75
2901,3981,234
3631,2901,59
3632,2142,93
3636,3138,14
3637,2609561,85
3640,3754,10
3640,2941,81
3641,3896,31
3642,3643,225
3643,3642,73
3646,2378,104
3647,4181,141
3649,3768,63
3653,5757,242
3668,3257,147
3669,2609567,29
3670,2783,36
3671,2783,64
3518,2609570,13
